0,892,366,886
1,280,383,1198
2,400,1150,1150
3,750,427,1025
4,368,488,1088
5,936,396,1066
6,730,519,1046
7,750,427,1067
8,600,274,580
9,900,683,930
10,157,372,1076
11,1303,0,1267
12,579,498,998
13,585,731,1193
14,580,366,952
15,700,0,1057
16,2020,214,934
17,620,549,1206
18,783,366,1074
19,817,876,1268
20,443,580,785
21,504,792,966
22,300,700,756
23,625,0,1042
24,1705,488,979
25,550,0,1220
26,570,0,1220
27,787,780,898
28,530,0,1073
29,370,914,1012
30,500,0,995
31,230,383,1207
32,464,700,756
33,1250,700,1132
34,150,409,1123
35,650,0,1128
36,750,0,1221
37,1040,777,801
38,565,1005,1131
39,800,0,1088
40,220,0,1022
